<string>:1: SyntaxWarning: invalid escape sequence '\p'
<string>:1: SyntaxWarning: invalid escape sequence '\p'
35 repositories from corpus.lock
kept over the cap as the only repository in its (language, kind): monica(2093, php/application), syft(2856, go/framework), bevy(2897, rust/framework), ktor(3017, kotlin/framework), laravel-framework(3354, php/framework), exposed(5380, kotlin/library)
skipped over the size cap: hugo(2918), dub(4260), django(7070)

writing cells to C:\Users\ragha\Desktop\repowise\repowise-bench\results\graph\g6-corpus\2026-08-19-13cc339a\cells

=== cobra (go/library, 66 files) ===
  [61/175] repowise-subprocess    1.62s [1.562, 1.68] peak 54.0 MB
  [62/175] codegraph              1.48s [1.466, 1.481] peak 711.1 MB
  [63/175] graphify               4.518s [4.504, 4.618] peak 833.6 MB
  [64/175] code-review-graph      3.501s [3.391, 3.518] peak 357.9 MB
  [65/175] codebase-memory-mcp    5.516s [5.486, 5.561] peak 1074.5 MB

=== eShopOnWeb (csharp/application, 459 files) ===
  [66/175] repowise-subprocess    1.768s [1.758, 1.776] peak 52.1 MB
  [67/175] codegraph              1.638s [1.6, 1.669] peak 756.7 MB
  [68/175] graphify               8.055s [7.989, 8.192] peak 836.8 MB
  [69/175] code-review-graph      3.12s [3.091, 3.196] peak 356.6 MB
  [70/175] codebase-memory-mcp    5.493s [5.486, 5.508] peak 752.5 MB

=== hono (typescript/framework, 490 files) ===
  [71/175] repowise-subprocess    2.765s [2.698, 2.771] peak 78.2 MB
  [72/175] codegraph              3.737s [3.704, 3.743] peak 756.8 MB
  [73/175] graphify               13.632s [13.498, 13.989] peak 947.6 MB
  [74/175] code-review-graph      14.534s [14.534, 14.651] peak 378.6 MB
  [75/175] codebase-memory-mcp    5.857s [5.842, 5.943] peak 1030.3 MB

=== javalin (kotlin/application, 500 files) ===
  [76/175] repowise-subprocess    2.768s [2.737, 2.793] peak 71.6 MB
  [77/175] codegraph              4.104s [3.961, 4.174] peak 803.2 MB
  [78/175] graphify               12.229s [12.02, 12.376] peak 846.7 MB
  [79/175] code-review-graph      10.294s [10.186, 10.694] peak 364.7 MB
  [80/175] codebase-memory-mcp    6.205s [6.148, 6.209] peak 1112.8 MB

=== CleanArchitecture (csharp/framework, 539 files) ===
  [81/175] repowise-subprocess    2.039s [1.995, 2.057] peak 53.5 MB
  [82/175] codegraph              1.785s [1.775, 1.847] peak 756.2 MB
  [83/175] graphify               12.154s [12.059, 12.254] peak 841.5 MB
  [84/175] code-review-graph      8.04s [8.033, 8.601] peak 360.8 MB
  [85/175] codebase-memory-mcp    5.696s [5.662, 5.808] peak 841.1 MB

=== Alamofire (swift/library, 568 files) ===
  [86/175] repowise-subprocess    5.484s [5.428, 5.596] peak 64.7 MB
  [87/175] codegraph              3.069s [3.019, 3.089] peak 792.3 MB
  [88/175] graphify               13.65s [13.609, 13.691] peak 853.5 MB
  [89/175] code-review-graph      4.715s [4.576, 4.823] peak 287.3 MB
  [90/175] codebase-memory-mcp    6.51s [6.454, 6.642] peak 837.0 MB

=== zod (typescript/library, 582 files) ===
  [91/175] repowise-subprocess    2.541s [2.527, 2.555] peak 67.8 MB
  [92/175] codegraph              3.647s [3.638, 3.717] peak 757.1 MB
  [93/175] graphify               14.513s [14.496, 14.63] peak 955.2 MB
  [94/175] code-review-graph      11.117s [10.988, 11.155] peak 391.0 MB
  [95/175] codebase-memory-mcp    5.889s [5.879, 5.926] peak 1063.3 MB

=== scrapy (python/application, 630 files) ===
  [96/175] repowise-subprocess    3.021s [2.985, 3.098] peak 75.3 MB
  [97/175] codegraph              3.779s [3.718, 3.781] peak 721.3 MB
  [98/175] graphify               20.49s [20.466, 20.77] peak 959.2 MB
  [99/175] code-review-graph      13.944s [13.893, 14.0] peak 366.8 MB
  [100/175] codebase-memory-mcp    6.393s [6.391, 6.562] peak 1663.8 MB

=== seastar (cpp/framework, 682 files) ===
  [101/175] repowise-subprocess    6.252s [6.251, 6.291] peak 101.9 MB
  [102/175] codegraph              4.727s [4.678, 4.855] peak 823.3 MB
  [103/175] graphify               16.434s [16.25, 16.521] peak 881.8 MB
  [104/175] code-review-graph      14.79s [14.459, 14.891] peak 377.5 MB
  [105/175] codebase-memory-mcp    7.722s [7.718, 7.75] peak 1622.7 MB

=== jekyll (ruby/application, 816 files) ===
  [106/175] repowise-subprocess    1.841s [1.835, 1.94] peak 54.7 MB
  [107/175] codegraph              1.584s [1.565, 1.602] peak 726.1 MB
  [108/175] graphify               6.268s [6.267, 6.29] peak 834.7 MB
  [109/175] code-review-graph      3.692s [3.581, 3.804] peak 361.1 MB
  [110/175] codebase-memory-mcp    5.66s [5.636, 5.688] peak 719.9 MB

=== celery (python/framework, 821 files) ===
  [111/175] repowise-subprocess    3.923s [3.833, 3.968] peak 82.4 MB
  [112/175] codegraph              3.904s [3.797, 3.936] peak 748.9 MB
  [113/175] graphify               24.26s [24.217, 24.805] peak 894.8 MB
  [114/175] code-review-graph      19.109s [18.357, 19.143] peak 407.2 MB
  [115/175] codebase-memory-mcp    6.787s [6.764, 6.851] peak 1645.2 MB

=== caffeine (java/library, 961 files) ===
  [116/175] repowise-subprocess    9.132s [9.015, 9.337] peak 160.6 MB
  [117/175] codegraph              10.539s [10.505, 10.839] peak 1597.4 MB
  [118/175] graphify               44.827s [44.77, 44.864] peak 993.8 MB
  [119/175] code-review-graph      31.476s [30.844, 32.791] peak 473.9 MB
  [120/175] codebase-memory-mcp    8.859s [8.766, 8.889] peak 1989.2 MB

=== Ocelot (csharp/framework, 998 files) ===
  [121/175] repowise-subprocess    5.11s [5.049, 5.139] peak 88.9 MB
  [122/175] codegraph              4.31s [4.303, 4.444] peak 783.3 MB
  [123/175] graphify               33.789s [33.663, 33.954] peak 891.2 MB
  [124/175] code-review-graph      12.348s [12.315, 12.859] peak 368.2 MB
  [125/175] codebase-memory-mcp    6.908s [6.808, 6.935] peak 1515.4 MB

=== Polly (csharp/library, 1028 files) ===
  [126/175] repowise-subprocess    6.043s [6.042, 6.071] peak 87.1 MB
  [127/175] codegraph              4.192s [4.105, 4.259] peak 896.3 MB
  [128/175] graphify               21.341s [21.154, 21.519] peak 917.3 MB
  [129/175] code-review-graph      10.869s [10.667, 10.92] peak 361.4 MB
  [130/175] codebase-memory-mcp    6.463s [6.452, 6.491] peak 1486.8 MB

=== nlohmann-json (cpp/library, 1205 files) ===
  [131/175] repowise-subprocess    6.229s [6.218, 6.266] peak 110.8 MB
  [132/175] codegraph              6.069s [6.026, 6.091] peak 985.1 MB
  [133/175] graphify               12.048s [11.955, 12.22] peak 868.9 MB
  [134/175] code-review-graph      7.785s [7.776, 7.832] peak 385.5 MB
  [135/175] codebase-memory-mcp    7.743s [7.671, 7.782] peak 1527.3 MB

=== Signal-Server (java/application, 1385 files) ===
  [136/175] repowise-subprocess    9.383s [9.341, 9.396] peak 177.3 MB
  [137/175] codegraph              14.139s [13.806, 14.303] peak 1764.2 MB
  [138/175] graphify               45.426s [45.287, 45.837] peak 972.6 MB
  [139/175] code-review-graph      33.55s [33.329, 33.56] peak 443.1 MB
  [140/175] codebase-memory-mcp    8.801s [8.728, 8.969] peak 2672.8 MB

=== aria2 (cpp/application, 1393 files) ===
  [141/175] repowise-subprocess    7.392s [7.382, 7.406] peak 106.8 MB
  [142/175] codegraph              6.25s [6.243, 6.393] peak 1005.8 MB
  [143/175] graphify               33.438s [33.432, 33.53] peak 925.8 MB
  [144/175] code-review-graph      15.149s [15.062, 15.221] peak 360.8 MB
  [145/175] codebase-memory-mcp    8.111s [8.066, 8.116] peak 2672.6 MB

=== monica (php/application, 2093 files) ===
  [146/175] repowise-subprocess    5.328s [5.227, 5.472] peak 101.2 MB
  [147/175] codegraph              8.908s [8.821, 9.16] peak 1213.9 MB
  [148/175] graphify               54.306s [54.031, 54.843] peak 1338.8 MB
  [149/175] code-review-graph      29.163s [28.743, 29.548] peak 363.7 MB
  [150/175] codebase-memory-mcp    8.608s [8.577, 8.642] peak 1759.3 MB

=== syft (go/framework, 2856 files) ===
  [151/175] repowise-subprocess    11.885s [11.828, 11.899] peak 127.1 MB
  [152/175] codegraph              6.642s [6.496, 6.897] peak 899.7 MB
  [153/175] graphify               100.274s [99.229, 101.2] peak 1044.7 MB
  [154/175] code-review-graph      20.1s [20.039, 20.104] peak 383.6 MB
  [155/175] codebase-memory-mcp    11.941s [11.889, 12.022] peak 4645.5 MB

=== bevy (rust/framework, 2897 files) ===
  [156/175] repowise-subprocess    34.186s [34.159, 34.307] peak 468.0 MB
  [157/175] codegraph              15.145s [15.057, 15.292] peak 2067.2 MB
  [158/175] graphify               81.269s [81.1, 82.127] peak 1198.4 MB
  [159/175] code-review-graph      66.677s [66.67, 66.777] peak 495.9 MB
  [160/175] codebase-memory-mcp    12.949s [12.89, 13.215] peak 5522.7 MB

=== ktor (kotlin/framework, 3017 files) ===
  [161/175] repowise-subprocess    16.824s [16.701, 16.878] peak 316.1 MB
  [162/175] codegraph              14.22s [14.211, 14.292] peak 1649.1 MB
  [163/175] graphify               65.891s [65.673, 66.345] peak 961.3 MB
  [164/175] code-review-graph      44.696s [44.171, 45.078] peak 428.8 MB
  [165/175] codebase-memory-mcp    12.149s [12.115, 12.169] peak 2984.8 MB

=== laravel-framework (php/framework, 3354 files) ===
  [166/175] repowise-subprocess    14.444s [14.366, 14.543] peak 252.8 MB
  [167/175] codegraph              18.496s [18.401, 18.687] peak 2044.0 MB
  [168/175] graphify               92.575s [92.301, 92.718] peak 1424.9 MB
  [169/175] code-review-graph      106.944s [106.445, 107.703] peak 532.2 MB
  [170/175] codebase-memory-mcp    13.439s [13.437, 13.548] peak 3006.1 MB

=== exposed (kotlin/library, 5380 files) ===
  [171/175] repowise-subprocess    36.653s [36.466, 36.875] peak 189.3 MB
  [172/175] codegraph              8.816s [8.735, 8.831] peak 1113.5 MB
  [173/175] graphify               129.882s [129.214, 131.198] peak 995.0 MB
  [174/175] code-review-graph      24.268s [24.199, 24.531] peak 467.0 MB
  [175/175] codebase-memory-mcp    17.772s [17.688, 17.777] peak 3102.6 MB

175 cells over 35 repos, 0 failed, 158.0 min
wrote C:\Users\ragha\Desktop\repowise\repowise-bench\results\graph\g6-corpus\2026-08-19-13cc339a\result.json
